id;shop_rating;is_open;average_delivery_time;opening_time;closing_time;tags
1;Cheese;false;63252;2022-04-13T14:41:37;2022-04-14T04:13:16;back-end
2;redundant Granite;true;96874;2022-04-13T10:30:17;2022-04-14T04:45:52;Qatar protocol intuitive
3;indexing Automotive Practical;true;35522;2022-04-14T03:53:14;2022-04-14T06:44:50;Paradigm Assurance Distributed
4;Representative Tasty Brunei;false;14744;2022-04-14T05:23:41;2022-04-14T04:33:38;back-end
5;United;false;69879;2022-04-13T16:49:33;2022-04-14T03:41:48;Rapids Mouse indexing
6;solution-oriented reboot;true;88812;2022-04-13T21:39:06;2022-04-13T17:58:50;invoice Valleys bandwidth-monitored
7;application Unbranded;true;33922;2022-04-14T01:14:23;2022-04-14T08:49:50;SMS
8;Re-engineered;true;8262;2022-04-13T22:11:05;2022-04-13T20:40:01;Small Barbados microchip
9;optimal applications;true;74869;2022-04-13T14:38:12;2022-04-13T14:21:24;withdrawal
10;USB pixel capacitor;true;47337;2022-04-14T08:44:27;2022-04-13T19:26:23;Consultant Steel
