id;shop_rating;is_open;average_delivery_time;opening_time;closing_time;tags
1;bus invoice Garden;false;39201;2022-04-13T10:51:33;2022-04-13T23:48:21;Data
2;infomediaries Orchestrator;true;45263;2022-04-13T11:01:14;2022-04-14T05:55:26;Cotton
3;Vatu deposit navigating;true;75438;2022-04-13T17:58:28;2022-04-14T08:10:17;Kentucky Colorado Concrete
4;Frozen;true;8595;2022-04-13T16:46:00;2022-04-13T11:08:33;strategic AGP Games
5;Intranet;false;75209;2022-04-13T15:59:49;2022-04-13T19:07:28;Sleek Granite Plastic
6;quantifying Coordinator;true;96160;2022-04-14T07:25:24;2022-04-13T15:45:21;implementation generate
7;firewall Upgradable Berkshire;false;85555;2022-04-13T16:55:35;2022-04-14T01:00:55;Open-architected vertical Peso
8;Beauty matrices;false;35225;2022-04-14T06:24:44;2022-04-14T05:37:04;Handmade Louisiana
9;Data conglomeration gold;true;4442;2022-04-13T13:37:17;2022-04-14T09:38:26;Borders
10;e-tailers Fantastic;true;23018;2022-04-13T17:46:58;2022-04-14T02:46:11;Shoes
